phase,trial_id,character,image_file,rating,rt,timed_out,rotation_offset
phase_0,phase0_01,月,月.png,6,2.5631842916627647,False,0.3595405743157845
phase_0,phase0_02,日,日.png,6,2.1870866666722577,False,5.356044316963061
phase_0,phase0_03,人,人.png,6,1.4871862500003772,False,0.5017277262495581
phase_0,phase0_04,木,木.png,6,1.23805012498633,False,5.518470792360935
phase_0,phase0_05,土,土.png,6,1.520805250009289,False,5.465098975416165
phase_0,phase0_06,又,又.png,6,1.521295791666489,False,2.137193489427842
phase_0,phase0_07,心,心.png,6,1.721253458337742,False,6.152892127750489
phase_0,phase0_08,王,王.png,6,1.1041989583318355,False,1.6877324724331895
phase_0,phase0_09,中,中.png,6,1.1707902500056662,False,6.069366396182774
phase_0,phase0_10,子,子.png,6,1.08422237499326,False,3.8541421671025966
phase_0,phase0_11,大,大.png,6,1.253803291663644,False,2.933513674130706
phase_0,phase0_12,女,女.png,6,1.3541452499921434,False,0.01132510174067544
phase_0,phase0_13,不,不.png,6,1.021178000009968,False,1.0547105842936457
