path,total_frames,drops,drop_rate%,max_ifi_ms
sub-004\phase_0\不\frame_log.csv,49,0,0.0,0.0
sub-004\phase_0\中\frame_log.csv,50,0,0.0,0.0
sub-004\phase_0\人\frame_log.csv,35,0,0.0,0.0
sub-004\phase_0\又\frame_log.csv,29,0,0.0,0.0
sub-004\phase_0\土\frame_log.csv,51,0,0.0,0.0
sub-004\phase_0\大\frame_log.csv,48,0,0.0,0.0
sub-004\phase_0\女\frame_log.csv,48,0,0.0,0.0
sub-004\phase_0\子\frame_log.csv,33,0,0.0,0.0
sub-004\phase_0\心\frame_log.csv,46,0,0.0,0.0
sub-004\phase_0\日\frame_log.csv,59,0,0.0,0.0
sub-004\phase_0\月\frame_log.csv,44,0,0.0,0.0
sub-004\phase_0\木\frame_log.csv,39,0,0.0,0.0
sub-004\phase_0\王\frame_log.csv,39,0,0.0,0.0
sub-004\trial_summary\pair_008\frame_log.csv,495,5,1.01,77.13
sub-004\trial_summary\pair_009\frame_log.csv,949,4,0.42,82.66
sub-004\trial_summary\pair_010\frame_log.csv,660,4,0.61,83.29
sub-004\trial_summary\pair_011\frame_log.csv,425,5,1.18,83.12
sub-004\trial_summary\pair_012\frame_log.csv,491,5,1.02,98.08
sub-004\trial_summary\pair_016\frame_log.csv,461,4,0.87,98.01
sub-004\trial_summary\pair_019\frame_log.csv,887,4,0.45,65.78
sub-004\trial_summary\pair_021\frame_log.csv,516,3,0.58,84.16
sub-004\trial_summary\pair_023\frame_log.csv,741,4,0.54,91.26
sub-004\trial_summary\pair_024\frame_log.csv,495,4,0.81,65.11
sub-004\trial_summary\pair_025\frame_log.csv,472,4,0.85,87.6
sub-004\trial_summary\pair_027\frame_log.csv,454,4,0.88,84.01
sub-004\trial_summary\pair_028\frame_log.csv,1457,2,0.14,72.2
sub-004\trial_summary\pair_029\frame_log.csv,438,4,0.91,79.08
sub-004\trial_summary\pair_033\frame_log.csv,477,4,0.84,72.71
sub-004\trial_summary\pair_038\frame_log.csv,612,4,0.65,86.08
sub-004\trial_summary\pair_039\frame_log.csv,443,4,0.9,87.51
sub-004\trial_summary\pair_044\frame_log.csv,455,4,0.88,99.47
sub-004\trial_summary\pair_045\frame_log.csv,483,4,0.83,76.68
sub-004\trial_summary\pair_048\frame_log.csv,500,4,0.8,109.54
sub-004\trial_summary\pair_050\frame_log.csv,495,4,0.81,95.7
sub-004\trial_summary\pair_052\frame_log.csv,625,4,0.64,78.93
sub-004\trial_summary\pair_054\frame_log.csv,766,4,0.52,94.42
sub-004\trial_summary\pair_057\frame_log.csv,738,4,0.54,95.51
sub-004\trial_summary\pair_061\frame_log.csv,584,4,0.68,95.05
sub-004\trial_summary\pair_062\frame_log.csv,455,4,0.88,67.91
sub-004\trial_summary\pair_065\frame_log.csv,969,4,0.41,88.25
sub-004\trial_summary\pair_066\frame_log.csv,461,4,0.87,77.15
sub-004\trial_summary\pair_068\frame_log.csv,738,4,0.54,78.57
sub-004\trial_summary\pair_069\frame_log.csv,410,4,0.98,82.23
sub-004\trial_summary\pair_071\frame_log.csv,713,5,0.7,62.61
sub-004\trial_summary\pair_073\frame_log.csv,523,4,0.76,83.67
sub-004\trial_summary\pair_078\frame_log.csv,925,5,0.54,60.3
sub-004\trial_summary\pair_079\frame_log.csv,505,4,0.79,123.28
sub-004\trial_summary\pair_084\frame_log.csv,762,4,0.52,75.23
sub-004\trial_summary\pair_087\frame_log.csv,538,4,0.74,105.08
