source,frame_idx,flip_time,ifi,event_marker
sub-002\trial_summary\pair_021\frame_log.csv,103,2471.841348,0.11655299999983981,
sub-002\trial_summary\pair_021\frame_log.csv,183,2473.308375,0.1503139999999803,
sub-002\trial_summary\pair_021\frame_log.csv,284,2475.10839,0.13361600000007456,
sub-002\trial_summary\pair_021\frame_log.csv,377,2476.758379,0.11694799999986571,
sub-002\trial_summary\pair_022\frame_log.csv,74,116.343408,0.0522539999999907,
sub-002\trial_summary\pair_022\frame_log.csv,75,116.369045,0.02563700000000324,
sub-002\trial_summary\pair_022\frame_log.csv,76,116.416659,0.047613999999995826,
sub-002\trial_summary\pair_022\frame_log.csv,93,129.325097,1.1008820000000128,
sub-002\trial_summary\pair_022\frame_log.csv,104,129.607463,0.11668099999999981,
sub-002\trial_summary\pair_022\frame_log.csv,174,131.024667,0.2671499999999867,
sub-002\trial_summary\pair_022\frame_log.csv,179,131.241223,0.1503280000000018,
sub-002\trial_summary\pair_022\frame_log.csv,237,133.024403,0.8336610000000064,
sub-002\trial_summary\pair_022\frame_log.csv,252,133.391102,0.1335719999999867,
sub-002\trial_summary\pair_024\frame_log.csv,49,2444.274947,0.09992800000009083,
sub-002\trial_summary\pair_024\frame_log.csv,86,2444.958247,0.08335699999997814,
sub-002\trial_summary\pair_024\frame_log.csv,126,2445.708224,0.09996300000011615,
sub-002\trial_summary\pair_024\frame_log.csv,153,2446.241612,0.09970899999962057,
sub-002\trial_summary\pair_025\frame_log.csv,148,1411.898989,0.1502740000000813,
sub-002\trial_summary\pair_025\frame_log.csv,219,1413.182342,0.11696100000017395,
sub-002\trial_summary\pair_025\frame_log.csv,280,1414.28242,0.09996700000010605,
sub-002\trial_summary\pair_025\frame_log.csv,317,1414.965911,0.08385500000008506,
sub-002\trial_summary\pair_026\frame_log.csv,75,553.021632,0.133658999999966,
sub-002\trial_summary\pair_026\frame_log.csv,116,553.754622,0.06674500000008265,
sub-002\trial_summary\pair_026\frame_log.csv,174,554.804995,0.1004329999999527,
sub-002\trial_summary\pair_026\frame_log.csv,227,555.771347,0.10002299999996467,
sub-002\trial_summary\pair_027\frame_log.csv,67,1836.796163,0.050314999999955035,
sub-002\trial_summary\pair_027\frame_log.csv,127,1837.829479,0.05030899999997018,
sub-002\trial_summary\pair_027\frame_log.csv,172,1838.64579,0.08333700000002864,
sub-002\trial_summary\pair_027\frame_log.csv,215,1839.462847,0.11700500000006286,
sub-002\trial_summary\pair_029\frame_log.csv,100,2414.99178,0.13327499999968495,
sub-002\trial_summary\pair_029\frame_log.csv,170,2416.291889,0.15003600000000006,
sub-002\trial_summary\pair_029\frame_log.csv,215,2417.108766,0.08332199999995282,
sub-002\trial_summary\pair_029\frame_log.csv,274,2418.208769,0.1333399999998619,
sub-002\trial_summary\pair_031\frame_log.csv,101,688.037085,0.11642300000005434,
sub-002\trial_summary\pair_031\frame_log.csv,153,689.003705,0.11671999999998661,
sub-002\trial_summary\pair_031\frame_log.csv,203,689.92045,0.10009099999990667,
sub-002\trial_summary\pair_031\frame_log.csv,250,690.753569,0.06654300000002422,
sub-002\trial_summary\pair_034\frame_log.csv,204,920.968801,0.13311499999997523,
sub-002\trial_summary\pair_034\frame_log.csv,242,921.685591,0.10005400000000009,
sub-002\trial_summary\pair_034\frame_log.csv,294,922.652457,0.11700500000006286,
sub-002\trial_summary\pair_034\frame_log.csv,342,923.535398,0.09996599999999489,
sub-002\trial_summary\pair_035\frame_log.csv,328,698.063833,0.02671900000007099,
sub-002\trial_summary\pair_035\frame_log.csv,330,698.120729,0.04824099999996179,
sub-002\trial_summary\pair_035\frame_log.csv,182,725.920143,0.11663500000008753,
sub-002\trial_summary\pair_035\frame_log.csv,224,726.703506,0.09972999999990861,
sub-002\trial_summary\pair_035\frame_log.csv,272,727.603361,0.11634399999991274,
sub-002\trial_summary\pair_035\frame_log.csv,316,728.403391,0.08326600000009421,
sub-002\trial_summary\pair_036\frame_log.csv,67,2302.609268,0.09996399999999994,
sub-002\trial_summary\pair_036\frame_log.csv,114,2303.475954,0.09969099999989339,
sub-002\trial_summary\pair_036\frame_log.csv,156,2304.275927,0.11670000000003711,
