source,frame_idx,flip_time,ifi,event_marker
sub-003\trial_summary\pair_019\frame_log.csv,129,1429.398116,0.0715740000000551,
sub-003\trial_summary\pair_020\frame_log.csv,53,350.971652,0.0614360000000147,
sub-003\trial_summary\pair_020\frame_log.csv,83,351.497029,0.05350099999998292,
sub-003\trial_summary\pair_020\frame_log.csv,123,352.214889,0.07130900000004203,
sub-003\trial_summary\pair_020\frame_log.csv,152,352.765685,0.08886499999999842,
sub-003\trial_summary\pair_021\frame_log.csv,35,433.921956,0.11115700000004836,
sub-003\trial_summary\pair_021\frame_log.csv,61,434.402632,0.0752469999999903,
sub-003\trial_summary\pair_021\frame_log.csv,98,435.062451,0.06836400000003096,
sub-003\trial_summary\pair_021\frame_log.csv,121,435.527074,0.0997260000000324,
sub-003\trial_summary\pair_022\frame_log.csv,42,461.881413,0.07126399999998512,
sub-003\trial_summary\pair_022\frame_log.csv,83,462.62705,0.08355399999999236,
sub-003\trial_summary\pair_022\frame_log.csv,113,463.172039,0.06182899999998881,
sub-003\trial_summary\pair_022\frame_log.csv,154,463.922228,0.09542100000004439,
sub-003\trial_summary\pair_023\frame_log.csv,34,1011.151011,0.07427200000006451,
sub-003\trial_summary\pair_023\frame_log.csv,59,1011.603606,0.060245000000008986,
sub-003\trial_summary\pair_023\frame_log.csv,93,1012.218542,0.07519600000000537,
sub-003\trial_summary\pair_023\frame_log.csv,121,1012.750986,0.09100300000000061,
sub-003\trial_summary\pair_024\frame_log.csv,18,134.507864,0.03082500000002142,
sub-003\trial_summary\pair_024\frame_log.csv,4,135.287052,0.026425999999986516,
sub-003\trial_summary\pair_024\frame_log.csv,48,145.135222,0.07491099999998596,
sub-003\trial_summary\pair_024\frame_log.csv,74,145.623007,0.07922099999998977,
sub-003\trial_summary\pair_024\frame_log.csv,103,146.146727,0.06976299999999469,
sub-003\trial_summary\pair_024\frame_log.csv,131,146.664525,0.0709280000000092,
sub-003\trial_summary\pair_025\frame_log.csv,45,762.888724,0.07765100000005987,
sub-003\trial_summary\pair_025\frame_log.csv,97,763.825721,0.09897399999999834,
sub-003\trial_summary\pair_025\frame_log.csv,143,764.665055,0.08829500000001644,
sub-003\trial_summary\pair_025\frame_log.csv,184,765.415074,0.0881570000000238,
sub-003\trial_summary\pair_026\frame_log.csv,42,419.349891,0.08974699999998847,
sub-003\trial_summary\pair_026\frame_log.csv,73,419.927189,0.08364599999998745,
sub-003\trial_summary\pair_026\frame_log.csv,104,420.526465,0.09965399999998681,
sub-003\trial_summary\pair_026\frame_log.csv,129,421.015531,0.08871399999998175,
sub-003\trial_summary\pair_027\frame_log.csv,415,197.848427,0.07108799999997473,
sub-003\trial_summary\pair_027\frame_log.csv,447,198.437586,0.07682400000001621,
sub-003\trial_summary\pair_027\frame_log.csv,485,199.112299,0.06823300000002064,
sub-003\trial_summary\pair_027\frame_log.csv,508,199.564119,0.08663000000001375,
sub-003\trial_summary\pair_028\frame_log.csv,45,1538.987101,0.07726899999988746,
sub-003\trial_summary\pair_028\frame_log.csv,74,1539.524088,0.08096199999999953,
sub-003\trial_summary\pair_028\frame_log.csv,100,1539.999861,0.07342599999992672,
sub-003\trial_summary\pair_028\frame_log.csv,126,1540.503989,0.09420599999998558,
sub-003\trial_summary\pair_029\frame_log.csv,41,1277.162585,0.08553699999993114,
sub-003\trial_summary\pair_029\frame_log.csv,64,1277.60675,0.08009599999991224,
sub-003\trial_summary\pair_029\frame_log.csv,87,1278.061824,0.10162399999990157,
