path,total_frames,drops,drop_rate%,max_ifi_ms
sub-005\phase_0\不\frame_log.csv,93,0,0.0,0.0
sub-005\phase_0\中\frame_log.csv,37,0,0.0,0.0
sub-005\phase_0\人\frame_log.csv,72,0,0.0,0.0
sub-005\phase_0\又\frame_log.csv,65,0,0.0,0.0
sub-005\phase_0\土\frame_log.csv,55,0,0.0,0.0
sub-005\phase_0\大\frame_log.csv,49,0,0.0,0.0
sub-005\phase_0\女\frame_log.csv,47,0,0.0,0.0
sub-005\phase_0\子\frame_log.csv,34,0,0.0,0.0
sub-005\phase_0\心\frame_log.csv,26,0,0.0,0.0
sub-005\phase_0\日\frame_log.csv,30,0,0.0,0.0
sub-005\phase_0\月\frame_log.csv,37,0,0.0,0.0
sub-005\phase_0\木\frame_log.csv,53,0,0.0,0.0
sub-005\phase_0\王\frame_log.csv,28,0,0.0,0.0
sub-005\trial_summary\pair_007\frame_log.csv,428,4,0.93,90.81
sub-005\trial_summary\pair_010\frame_log.csv,427,4,0.94,83.34
sub-005\trial_summary\pair_012\frame_log.csv,486,4,0.82,91.34
sub-005\trial_summary\pair_035\frame_log.csv,433,4,0.92,110.63
sub-005\trial_summary\pair_055\frame_log.csv,424,4,0.94,68.23
sub-005\trial_summary\pair_060\frame_log.csv,435,4,0.92,74.29
sub-005\trial_summary\pair_071\frame_log.csv,445,4,0.9,133.22
sub-005\trial_summary\pair_083\frame_log.csv,423,4,0.95,78.46
sub-005\trial_summary\pair_084\frame_log.csv,429,4,0.93,94.93
