source,frame_idx,flip_time,ifi,event_marker
sub-005\trial_summary\pair_007\frame_log.csv,44,184.686039,0.09080799999998135,
sub-005\trial_summary\pair_007\frame_log.csv,70,185.152396,0.05737600000000498,
sub-005\trial_summary\pair_007\frame_log.csv,102,185.714658,0.05271799999999871,
sub-005\trial_summary\pair_007\frame_log.csv,142,186.41236,0.05087199999999825,
sub-005\trial_summary\pair_010\frame_log.csv,44,67.664416,0.06954600000000255,
sub-005\trial_summary\pair_010\frame_log.csv,67,68.100451,0.07171800000000417,
sub-005\trial_summary\pair_010\frame_log.csv,106,68.811648,0.08333500000000527,
sub-005\trial_summary\pair_010\frame_log.csv,131,69.278143,0.06609000000000265,
sub-005\trial_summary\pair_012\frame_log.csv,43,170.745377,0.08387099999998782,
sub-005\trial_summary\pair_012\frame_log.csv,75,171.336418,0.07486300000002188,
sub-005\trial_summary\pair_012\frame_log.csv,104,171.862375,0.06753799999998478,
sub-005\trial_summary\pair_012\frame_log.csv,150,172.70287,0.0913409999999999,
sub-005\trial_summary\pair_035\frame_log.csv,42,96.022728,0.09455300000000477,
sub-005\trial_summary\pair_035\frame_log.csv,71,96.570446,0.09226999999999919,
sub-005\trial_summary\pair_035\frame_log.csv,117,97.402169,0.09064999999999657,
sub-005\trial_summary\pair_035\frame_log.csv,141,97.888805,0.11063099999999793,
sub-005\trial_summary\pair_055\frame_log.csv,37,140.56422,0.05266800000001126,
sub-005\trial_summary\pair_055\frame_log.csv,64,141.037077,0.04223500000000513,
sub-005\trial_summary\pair_055\frame_log.csv,101,141.678106,0.05000200000000632,
sub-005\trial_summary\pair_055\frame_log.csv,125,142.129707,0.06822700000000737,
sub-005\trial_summary\pair_060\frame_log.csv,53,82.026644,0.031794000000004985,
sub-005\trial_summary\pair_060\frame_log.csv,85,82.56988,0.04171999999999798,
sub-005\trial_summary\pair_060\frame_log.csv,121,83.211354,0.06647800000000359,
sub-005\trial_summary\pair_060\frame_log.csv,150,83.752469,0.07428600000000074,
sub-005\trial_summary\pair_071\frame_log.csv,46,125.215628,0.10408900000000187,
sub-005\trial_summary\pair_071\frame_log.csv,74,125.738204,0.07668300000000272,
sub-005\trial_summary\pair_071\frame_log.csv,117,126.561401,0.13322000000000855,
sub-005\trial_summary\pair_071\frame_log.csv,160,127.387795,0.126261999999997,
sub-005\trial_summary\pair_083\frame_log.csv,42,110.722509,0.07757700000000511,
sub-005\trial_summary\pair_083\frame_log.csv,67,111.187652,0.07613000000000625,
sub-005\trial_summary\pair_083\frame_log.csv,107,111.906731,0.0784619999999876,
sub-005\trial_summary\pair_083\frame_log.csv,136,112.432867,0.07133699999999976,
sub-005\trial_summary\pair_084\frame_log.csv,53,154.91959,0.07473699999999894,
sub-005\trial_summary\pair_084\frame_log.csv,85,155.497694,0.06953799999999433,
sub-005\trial_summary\pair_084\frame_log.csv,116,156.089767,0.09493499999999244,
sub-005\trial_summary\pair_084\frame_log.csv,143,156.600015,0.08847600000001421,
